"bars","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"ugly","{'polarity_value': 'negative', 'polarity_intense': '-0.58', 'moodtags': ['#sadness', '#disgust'], 'sentics': {'pleasantness': '-0.96', 'attention': '0', 'sensitivity': '0', 'aptitude': '-0.77'}, 'semantics': ['dreadful', 'terrible', 'fearful', 'scary', 'humiliate']}"
"69","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"highly","{'polarity_value': 'positive', 'polarity_intense': '0.557', 'moodtags': ['#interest', '#admiration'], 'sentics': {'pleasantness': '0', 'attention': '0.967', 'sensitivity': '0', 'aptitude': '0.704'}, 'semantics': ['extremely', 'study', 'project', 'research', 'well']}"
"reports","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"unhappy","{'polarity_value': 'negative', 'polarity_intense': '-0.88', 'moodtags': ['#anger', '#disgust'], 'sentics': {'pleasantness': '-0.71', 'attention': '0', 'sensitivity': '0.944', 'aptitude': '-0.99'}, 'semantics': ['hangdog', 'melancholy', 'shamed', 'miserably', 'piteous']}"
"risin","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"gaining","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"pushed","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
"smarter","{""polarity_value"": ""nuetral"", ""polarity_intense"": ""0"", ""moodtags"": [], ""sentics"": {""pleasantness"": ""0"", ""attention"": ""0"", ""sensitivity"": ""0"", ""aptitude"": ""0""}, ""semantics"": []}"
